wbcode,wbname,aosnew1,aosnew2,aosnew3,aosnew4,aosnew5,aosnew6,aosnew7,aosnew8,aosnew9,aosnew10,aosnew11,aosnew12,aosnew13,aosnew14,aosnew15,aosnew16,aosnew17,aosnew18,aosnew19,aosnew20,aosnew21,aosnew22,aosnew23,aosnew24,aosnew25,aosnew26,aosnew27,aosnew28,aosnew29,aosnew30,aosnew31,aosnew32,aosnew33,aosnew34,aosnew35,aosnew36,aosnew37,aosnew38,aosnew39,statehist00v3,statehist001v3,statehist01v3,statehist05v3,statehist10v3,statehist50v3,statehistn00v3,statehistn001v3,statehistn01v3,statehistn05v3,statehistn10v3,statehistn50v3
AFG,Afghanistan,50,28.125,28.125,28.125,28.125,25,25,25,25,50,50,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,37.5,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,37.5,37.5,37.5,37.5,1196.875,1174.43,997.2057,552.3561,336.9908,106.2089,0.613782,0.6137795,0.6139548,0.6182666,0.627973,0.7080595
ALB,Albania,41.5,25,26.938,27.688,25,25,25,25,28,50,28.5,27.375,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,25,25,25,25,25,25,25,25,1089.376,1069.543,912.3018,511.0415,311.7833,94.08551,0.5586544,0.5589635,0.5616816,0.5720221,0.5809996,0.6272368
DZA,Algeria,25,25,37.5,37.5,37.5,27.195,25,25,25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,25,0,0,0,0,0,25,25,25,25,25,25,25,25,25,1077.195,1059.146,915.0952,535.093,332.671,87.98809,0.5524077,0.5535303,0.5634014,0.5989436,0.6199232,0.5865873
AGO,Angola,25,25,25,25,25,28.125,28.125,28.125,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359.375,357.2036,338.5156,271.1622,213.0175,76.46488,0.1842949,0.1866815,0.2084156,0.303519,0.3969523,0.5097659
ARG,Argentina,50,50,37.5,18.75,18.75,18.75,18.75,12.5,18.375,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.75,251.9712,245.1862,219.3016,194.5286,115.0669,0.1296154,0.131685,0.1509551,0.24547,0.3624986,0.7671128
ARM,Armenia,24,18.75,18.75,18.75,18.75,18.75,21.25,25,25,25,25,25,25,25,25,25,25,25,36.25,37.5,39.5,50,50,50,50,48.5,39,50,50,28.75,24,20.625,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1119.375,1097.529,923.9598,480.0336,264.8593,62.84854,0.5740384,0.5735899,0.5688591,0.5373142,0.4935579,0.4189903
AUS,Australia,50,50,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.5,137.3752,136.2661,131.6327,126.4463,100,0.0705128,0.0717949,0.0838956,0.1473399,0.2356292,0.6666667
AUT,Austria,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,28.125,28.125,28.125,28.125,28.125,28.125,37.5,37.5,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,25,25,25,25,25,25,25,25,1418.75,1396.348,1217.361,742.8389,486.3402,149.8532,0.7275641,0.7297585,0.7494987,0.831479,0.9062816,0.9990216
AZE,Azerbaijan,26,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,776,765.0828,675.8418,418.9496,267.0178,76.01494,0.3979487,0.399847,0.416099,0.4689413,0.4975803,0.5067663
BGD,Bangladesh,37.5,25,25,25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,741.9265,674.6795,464.4068,320.5784,94.81731,0.3846154,0.387745,0.4153834,0.5198227,0.597389,0.6321155
BRB,Barbados,25,25,25,25,25,25,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.5,161.0571,157.1693,141.8184,126.2611,69.42524,0.0828205,0.0841715,0.0967652,0.158741,0.2352841,0.462835
BLR,Belarus,22.75,25,25,22.125,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619.875,612.4848,551.3406,365.8236,245.602,71.89648,0.3178846,0.3200963,0.3394467,0.4094759,0.4576725,0.4793099
BEL,Belgium,50,50,42.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1305,1283.748,1113.688,662.2697,422.5887,135.5552,0.6692308,0.6709116,0.6856698,0.7412958,0.7874823,0.9037012
BEN,Benin,25,37.5,28.875,18.75,30,37.5,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.375,195.805,190.806,171.1566,151.4005,80.89918,0.1007051,0.1023315,0.1174745,0.19158,0.2821307,0.5393279
BOL,Bolivia,50,50,37.5,25,25,25,25,25,25,25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,50,50,50,50,50,50,50,50,50,15,15,15,15,15,15,15,15,15,15,15,15,1242.5,1221.771,1055.505,611.5237,377.4235,122.896,0.6371795,0.6385213,0.6498481,0.6844944,0.7033183,0.8193071
BIH,Bosnia and Herzegovina,26.25,25,25,25,25,25,25,25,25,31.5,50,50,50,50,50,35,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,20.5,1113.25,1093.44,935.7822,526.0132,314.7881,77.57124,0.5708975,0.5714528,0.5761378,0.5887803,0.586599,0.5171417
BWA,Botswana,25,33.75,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433.75,430.3616,401.6102,304.2776,228.5473,80.75721,0.2224359,0.2249152,0.2472614,0.3405858,0.4258915,0.5383815
BRA,Brazil,50,50,43.75,25,25,25,25,25,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.5,274.6859,267.5714,240.0443,213.0825,122.337,0.1412821,0.1435561,0.1647371,0.2686879,0.3970734,0.81558
BGR,Bulgaria,45,37.5,37.5,37.5,37.5,37.5,37.5,25,25,25,25,48,50,50,50,32.5,25,25,34,50,50,50,50,50,50,42.25,11.25,0,0,0,0,0,0,0,0,0,0,0,0,1038,1024.291,911.7885,582.3797,381.7523,118.531,0.5323077,0.5353142,0.5613655,0.6518728,0.7113849,0.7902066
BFA,Burkina Faso,25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362.5,360.8187,346.2256,291.5433,240.9634,98.04908,0.1858974,0.1885708,0.2131625,0.326332,0.4490286,0.6536606
BDI,Burundi,25,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.5,211.9388,207.0037,187.3554,167.1545,90.12346,0.1089744,0.1107633,0.127447,0.2097118,0.3114878,0.6008231
KHM,Cambodia,25,33.5,37.5,37.5,37.5,37.5,37.5,47.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,1643,1612.736,1372.292,752.8802,440.1972,99.37838,0.8425641,0.8428468,0.8448862,0.8427185,0.8202954,0.6625226
CMR,Cameroon,25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,560.3289,520.9591,391.0563,292.9832,99.21362,0.2897436,0.2928386,0.3207416,0.4377196,0.5459661,0.6614242
CAN,Canada,50,50,37.5,18.75,12.5,12.5,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.75,188.412,185.4355,173.5041,161.0662,110.3292,0.0967949,0.0984677,0.114168,0.1942077,0.3001424,0.7355282
